
2019-11-11 20:51:31.839829: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2019-11-11 20:51:31.962028: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcudnn.so.7
Step 0:    (2019-11-11 20:51:32.690595)
    training nat accuracy 16.0%
    training adv accuracy 0.0%
Step 100:    (2019-11-11 20:51:44.440556)
    training nat accuracy 58.0%
    training adv accuracy 0.0%
    399.99626396733186 examples per second
Step 200:    (2019-11-11 20:51:56.517036)
    training nat accuracy 70.0%
    training adv accuracy 0.0%
    414.2229733389788 examples per second
Step 300:    (2019-11-11 20:52:07.959654)
    training nat accuracy 82.0%
    training adv accuracy 0.0%
    437.1923520023852 examples per second
Step 400:    (2019-11-11 20:52:19.292841)
    training nat accuracy 74.0%
    training adv accuracy 0.0%
    443.2939455756147 examples per second
Step 500:    (2019-11-11 20:52:30.437056)
    training nat accuracy 78.0%
    training adv accuracy 0.0%
    448.8868383594054 examples per second
Step 600:    (2019-11-11 20:52:42.036592)
    training nat accuracy 68.0%
    training adv accuracy 0.0%
    431.2737927714627 examples per second
Step 700:    (2019-11-11 20:52:58.487948)
    training nat accuracy 86.0%
    training adv accuracy 2.0%
    304.95569338843467 examples per second
Step 800:    (2019-11-11 20:53:13.086770)
    training nat accuracy 68.0%
    training adv accuracy 0.0%
    342.65883125890116 examples per second
Step 900:    (2019-11-11 20:53:27.409882)
    training nat accuracy 78.0%
    training adv accuracy 0.0%
    349.24341584277744 examples per second
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/training/saver.py:963: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
Step 1000:    (2019-11-11 20:53:41.275422)
    training nat accuracy 76.0%
    training adv accuracy 2.0%
    362.21573043294796 examples per second
Step 1100:    (2019-11-11 20:53:54.847972)
    training nat accuracy 74.0%
    training adv accuracy 6.0%
    369.45609455920885 examples per second
Step 1200:    (2019-11-11 20:54:10.133432)
    training nat accuracy 86.0%
    training adv accuracy 14.0%
    327.25231441418583 examples per second
Step 1300:    (2019-11-11 20:54:24.382516)
    training nat accuracy 76.0%
    training adv accuracy 6.0%
    352.935593432176 examples per second
Step 1400:    (2019-11-11 20:54:38.496318)
    training nat accuracy 74.0%
    training adv accuracy 14.0%
    354.4674066900292 examples per second
Step 1500:    (2019-11-11 20:54:52.786786)
    training nat accuracy 64.0%
    training adv accuracy 22.0%
    350.0825847918875 examples per second
Step 1600:    (2019-11-11 20:55:07.328954)
    training nat accuracy 74.0%
    training adv accuracy 20.0%
    345.30546695697103 examples per second
Step 1700:    (2019-11-11 20:55:21.634904)
    training nat accuracy 70.0%
    training adv accuracy 20.0%
    349.67127218159027 examples per second
Step 1800:    (2019-11-11 20:55:35.407378)
    training nat accuracy 62.0%
    training adv accuracy 24.0%
    363.2014811633508 examples per second
Step 1900:    (2019-11-11 20:55:48.369009)
    training nat accuracy 62.0%
    training adv accuracy 20.0%
    387.4382157823648 examples per second
Step 2000:    (2019-11-11 20:56:00.712356)
    training nat accuracy 66.0%
    training adv accuracy 20.0%
    405.2801534994581 examples per second
Step 2100:    (2019-11-11 20:56:13.442728)
    training nat accuracy 74.0%
    training adv accuracy 14.0%
    392.94468119507707 examples per second
Step 2200:    (2019-11-11 20:56:25.682192)
    training nat accuracy 72.0%
    training adv accuracy 26.0%
    411.3949439027839 examples per second
Step 2300:    (2019-11-11 20:56:38.780985)
    training nat accuracy 72.0%
    training adv accuracy 28.0%
    381.88743749886265 examples per second
Step 2400:    (2019-11-11 20:56:52.559016)
    training nat accuracy 66.0%
    training adv accuracy 0.0%
    363.06798607679883 examples per second
Step 2500:    (2019-11-11 20:57:06.996851)
    training nat accuracy 72.0%
    training adv accuracy 30.0%
    347.80897112225534 examples per second
Step 2600:    (2019-11-11 20:57:18.896772)
    training nat accuracy 84.0%
    training adv accuracy 28.0%
    420.3977689968139 examples per second
Step 2700:    (2019-11-11 20:57:31.141800)
    training nat accuracy 80.0%
    training adv accuracy 36.0%
    408.5487125537978 examples per second
Step 2800:    (2019-11-11 20:57:43.240463)
    training nat accuracy 52.0%
    training adv accuracy 14.0%
    415.28663292933237 examples per second
Step 2900:    (2019-11-11 20:57:54.886789)
    training nat accuracy 82.0%
    training adv accuracy 26.0%
    429.84587979063645 examples per second
Step 3000:    (2019-11-11 20:58:06.452857)
